,Compound,Negative,Neutral,Positive,Tweet,Date
0,4250,0.0,0.715,0.285,So BTC is cool but maybe you want something else too.This guide should help you prepare for the next step.,2021-08-31
1,3650,0.0,0.87,0.13,: The August $BTC option expiry is shaping up to have almost $1.8B in open interest (37k contracts 25% of all OI)🔹BT…,2021-08-27
2,5000,0.016,0.83,0.153," announced today that its broker-dealer MML Investors Services (MMLIS) has entered into a placement a… 
1428490102968176600,1629413555000,$46500.
1428181591822528500,1629340000000,
1427663254168346600,1629216419000,Bitcoin becomes legal tender in El Salvador in 22 days.
1432833085880553500,1630449003000,Delayed gratification is the bedrock of civilization.All good things take time.  HODL
1432832960688951300,1630448973000,: Join us April 6-9th in Miami FL for the Bitcoin 2022 Conference! if you will be there!🔥 Register today 👉 
1432832917961678800,1630448963000,_fights: Great chatting with  about bitcoin for  ! Video out soon! 
1432832465656287200,1630448855000,_SNARKs: Spaces crashed! New link for convo with __carter. 
1432819150901158000,1630445680000,We have all done this 😅 Bitcoin 
1432812377137893400,1630444065000,_: Over the last week the average daily dollar value transferred on the base layer of each blockchain: $BTC: $82.48 billi…
1432811642698485800,1630443890000,To learn why this number will never change sign up for our free 21-day course that teaches bitcoin fundamentals.… 
1432809840561299500,1630443460000,@____bam____: Meet Ishaan and Aanya they make $30000p/m mining bitcoin Ishaan and Aanya said they plan to reinvest most of the profi…
1432804268776595500,1630442132000,_SNARKs: More great discussion on  spaces! Today at 5:30pm ET __carter joins me and other to discuss Bitcoin e…
1432796013652217900,1630440164000,
1432786146627620900,1630437811000,Bitcoin completely negates the need for violence by incentivizing trade and peaceful cooperation.
1432783095338504200,1630437084000,: Hiring. All. Day. Every. Day. 📱 Social Media Manager 💻 Senior Designer📣 B22 Speaker Coordinator✍️ Associate Writer (A…
1432775897296347100,1630435368000,Bitcoin is a peaceful revolution
1432763296822743000,1630432364000,: I like the  Lightning spaces.
1432757914448679000,1630431080000,We started because we wanted to learn something new about technology – and also make some money along the way.""… ",2021-08-20
3,4950,0.03,0.845,0.125,"As of August the firm’s data center had a mining capacity of over 170 megawatts which is a total hashrate of ove… 
1432731122396434400,1630424693000,“Bitcoin is apolitical money. Interest groups don’t stand much chance.” -  
1432832999993839600,1630448982000, Looked that way ini November/December too...then? Boom!
1432830466416156700,1630448378000, I read that it was Gavin who funded the whole 19k BTC. 😱amazing.
1432828952372973600,1630448017000, Other than that though...
1432827475625529300,1630447665000, Their attack is like a scene from Monty Python....What have the Romans ever done for us? :)
1432822176386883600,1630446402000, El Salvador has taken steps to increase GDP by 20-30% by avoiding extortionate commissions charged by… 
1432818570824585200,1630445542000, That would give Bitcoin a market cap of 2100000000000000.Bigger than the GDP of this galaxy and the next one!
1432816527666000000,1630445055000, _kevs  Never gets old.
1432813291353616400,1630444283000, why?
1432813134457315300,1630444246000,   never gets old.
1432813084658208800,1630444234000,_kevs  never.
1432812320380620800,1630444052000,_btc they are different worlds :D
1432812064020574200,1630443991000,  Never gets old.
1432811980394532900,1630443971000, Bro 😎 
1432790494409633800,1630438848000,_it They’re not doing it to move the price.
1432790383805804500,1630438822000, Little bit 🤏
1432783076678115300,1630437079000,El Salvador approved Bitcoin law to create $150m fund to facilitate BTC-USD-BTC conversions.
1432752240457134000,1630429728000,  We don’t have to. That was also a joke. 😉
1432751896016658400,1630429645000,_Archive: 200 Bitcoin ATMs ready to go in El Salvador.Zero Commission - here we go! 🚀 
1432750719594025000,1630429365000, Clearly your content needs to be less sexist. [Joke]
1432750232903762000,1630429249000,_cashy   Never gets old.
1432833764569370600,1630449164000,Bitcoin will be legal tender in El Salvador in 7 days. You will have the option to use the government’s wallet fo… ",2021-08-31
4,2550,0.0,1.0,0.0,Canaan has sold Genesis 20K bitcoin miners and Genesis has the option to buy 180000 more BTC miners from the Ch… ,2021-08-31
5,1950,0.112,0.888,0.0,"Coming up on ""All About Bitcoin"":• 's  on the anti-bitcoin protests in El Salvador• $BTC mark… ",2021-08-31
6,3600,0.0,0.859,0.141,Despite Grayscale's GBTC product not every fund can participate in it. A true Bitcoin ETF could level the playing… ,2021-08-31
7,1450,0.194,0.806,0.0,Bitcoin price is drifting lower after bulls fail to recapture $50000 but on-chain data signals that BTC accumulat… ,2021-08-31
8,2550,0.0,1.0,0.0,New BTC and USDC trading pairs are now available in the  Exchange.Trade $AVAX with $BTC… ,2021-08-30
9,2250,0.132,0.764,0.104,Anti-Bitcoin Protests Fill the Streets of El Salvador Amid BTC Legal Tender Launch ,2021-08-31
